val_acc,val_loss
3.593750065192580223e-03,1.284164428710937500e+01
3.437499981373548508e-03,6.360286235809326172e+00
5.156250204890966415e-03,5.781875133514404297e+00
3.749999916180968285e-03,5.669075489044189453e+00
3.749999916180968285e-03,5.623350143432617188e+00
3.749999916180968285e-03,5.605108261108398438e+00
3.281249897554516792e-03,5.598006725311279297e+00
3.437499981373548508e-03,5.589972019195556641e+00
7.499999832361936569e-03,5.453597545623779297e+00
1.468749996274709702e-02,4.903349399566650391e+00
1.765624992549419403e-02,4.751227855682373047e+00
7.968749850988388062e-02,3.713573694229125977e+00
2.431250065565109253e-01,2.562148332595825195e+00
8.290625214576721191e-01,6.605174541473388672e-01
9.685937762260437012e-01,1.881037205457687378e-01
9.703124761581420898e-01,1.509519368410110474e-01
9.853125214576721191e-01,1.093495190143585205e-01
9.832812547683715820e-01,1.082475632429122925e-01
9.806249737739562988e-01,1.146115660667419434e-01
9.840624928474426270e-01,1.053342595696449280e-01
9.850000143051147461e-01,1.077466011047363281e-01
9.843750000000000000e-01,1.091549992561340332e-01
9.845312237739562988e-01,1.091736033558845520e-01
9.842187762260437012e-01,1.123113036155700684e-01
9.857812523841857910e-01,1.063846051692962646e-01
9.846875071525573730e-01,1.159374639391899109e-01
9.846875071525573730e-01,1.178037673234939575e-01
9.757812619209289551e-01,1.486473232507705688e-01
9.828125238418579102e-01,1.266061365604400635e-01
9.834374785423278809e-01,1.264826506376266479e-01
9.843750000000000000e-01,1.214657202363014221e-01
9.829687476158142090e-01,1.325871348381042480e-01
9.846875071525573730e-01,1.317359507083892822e-01
9.850000143051147461e-01,1.291234940290451050e-01
9.814062714576721191e-01,1.359844356775283813e-01
9.851562380790710449e-01,1.300610303878784180e-01
9.850000143051147461e-01,1.347488462924957275e-01
9.850000143051147461e-01,1.389986276626586914e-01
9.829687476158142090e-01,1.434200704097747803e-01
9.834374785423278809e-01,1.420338302850723267e-01
9.848437309265136719e-01,1.434608399868011475e-01
9.853125214576721191e-01,1.433898061513900757e-01
9.854687452316284180e-01,1.474944502115249634e-01
9.856250286102294922e-01,1.497305035591125488e-01
9.843750000000000000e-01,1.599817872047424316e-01
